r,g,b,color,receiver,transmitter,english-words,english-words-code,gnh-indicator,key,sound,circle-angle,direction
170,170,170,grey,cover,lose,respectful effective apposite precary,precary,Economic Wellness,eye contact,synchopation,120,N
250,0,90,pink,category,place,incredibily exquisite ambitious,ambitious,Mental Wellness,make gibberish,tone,260,S
250,200,0,gold,pull,hide,undepartable preflorating technocracy lotiform,technocracy lotiform,Workplace Wellness,define,conductor,135,NE
250,180,120,nude,approach,jump,felicitously deft satisfied unextenuable,unextenuable,Physical Wellness,feel,listen,140,NE
250,110,0,orange,hit,drop,blurry artesian awesome,blurry artesian,Social Wellness,look down,flat/sharp,178,E
255,255,255,white,hope,block,unlavish analeptical,analeptical,Political Wellness,stillness,note,center,center
0,0,255,blue,collect,glean,daintily perfect intelligent photopathy,photopathy,Environmental Wellness,respond,tempo,300,SW
0,255,0,green,transition,grow,bulbous spontaneous heroic,bulbous heroic,Ecological Diversity,composure,staff,67,NW
255,0,0,red,limit,cry,candid apophantic distinct radiant,apophantic,Health,coo,chord,185,E
0,0,0,black,order,scale,undertreated paleoatavistic obeyable swabble,swabble,Good Governance,walk,repeat,290,S
180,50,0,brown,learn,shrink,abundantly notable unique submissive,notable submissive,Education Value,curl up,dischord,150,E
255,255,0,yellow,structure,array,exhilerating redressible authority plausible,redressible authority,Living Standards,speak,largo,130,NE
180,50,255,purple,free,cheer,perfectly great imaginative brave gifted,brave,Cultural Diversity,laugh,cadence,293,S
0,255,255,cyan,act,self,,,Confidence,smile,melody,10,W
255,0,255,magenta,it,matter,,,Aesthetic,show off,harmony,,SE
